scenario,team_name,competition,entry_round,domestic_prior,european_prior,european_exposure,ao_first_elo,rating_source_type,weighted_match_exposure,weighted_european_history,domestic_achievement_score,cup_double_bonus,validation_warnings
Five seasons with full evidence,Continental Giants,UCL,League Phase,766.521,901.165,1.0,901.165,European Evidence-Based Rating,1.0,17.32,0.813,0.0,
League and cup double winner,Double Crown Athletic,UCL,Playoff Round,763.501,792.275,0.968,791.369,European Evidence-Based Rating,0.921,7.32,1.08,0.08,
Five seasons with low match volume,Few Match Wanderers,UECL,League Phase,743.175,770.982,0.713,763.011,Mixed Domestic-European Estimate,0.283,6.13,0.666,0.0,
"Medium league champion, no European history",Midoria Champions,UCL,Second Qualifying Round,752.255,500.0,0.0,752.255,Pure Domestic Projection,0.0,0.0,1.0,0.0,
"Big league, no European history",Metro Albion,UEL,League Phase,749.011,500.0,0.0,749.011,Pure Domestic Projection,0.0,0.0,0.703,0.0,
Only latest season in Europe,Last Season Sparks,UECL,Third Qualifying Round,718.048,701.22,0.33,712.495,Mixed Domestic-European Estimate,0.33,3.3,0.757,0.0,
"Small league champion, no European history",Smallia Kings,UCL,First Qualifying Round,706.451,500.0,0.0,706.451,Pure Domestic Projection,0.0,0.0,1.0,0.0,
"Older European history, no recent seasons",Distant History FC,UECL,Second Qualifying Round,688.849,679.365,0.4,685.055,Mixed Domestic-European Estimate,0.4,2.67,0.688,0.0,
Unknown league finish plus cup winner,Cupmark Rangers,UEL,Playoff Round,679.85,500.0,0.0,679.85,Pure Domestic Projection,0.0,0.0,0.62,0.0,
High exposure with weak European points,Low Score Veterans,UCL,League Phase,796.121,555.935,1.0,555.935,European Evidence-Based Rating,1.0,0.5,1.0,0.0,
